date,name,value,icon
0001,"Web Summit",1,
0001,"Judite Sousa",1,
0001,"Marcelo Rebelo de Sousa",1,https://upload.wikimedia.org/wikipedia/commons/6/61/Marcelo_Rebelo_de_Sousa_em_2018.jpg
0001,"Salão Erótico",1,
0001,"Carla Ferreira",1,
0001,"Restaurante Canela",1,
0001,"Ljubomir Stanisic",1,https://upload.wikimedia.org/wikipedia/commons/a/a2/Ljubomir_Stanisic_%28Time_Out_Lisboa%29.png
0001,"Manuel Canela",1,
0002,"Web Summit",1,
0002,"Judite Sousa",1,
0002,"Marcelo Rebelo de Sousa",1,https://upload.wikimedia.org/wikipedia/commons/6/61/Marcelo_Rebelo_de_Sousa_em_2018.jpg
0002,"Salão Erótico",1,
0002,"Carla Ferreira",1,
0002,"Restaurante Canela",1,
0002,"Ljubomir Stanisic",1,https://upload.wikimedia.org/wikipedia/commons/a/a2/Ljubomir_Stanisic_%28Time_Out_Lisboa%29.png
0002,"Manuel Canela",1,
0002,"António Leitão Amaro",1,
0002,"Mariana Mortágua",1,
0007,"Ljubomir Stanisic",2,https://upload.wikimedia.org/wikipedia/commons/a/a2/Ljubomir_Stanisic_%28Time_Out_Lisboa%29.png
0007,"Web Summit",1,
0007,"Judite Sousa",1,
0007,"Marcelo Rebelo de Sousa",1,https://upload.wikimedia.org/wikipedia/commons/6/61/Marcelo_Rebelo_de_Sousa_em_2018.jpg
0007,"Salão Erótico",1,
0007,"Carla Ferreira",1,
0007,"Restaurante Canela",1,
0007,"Manuel Canela",1,
0007,"António Leitão Amaro",1,
0007,"Mariana Mortágua",1,
0010,"Ljubomir Stanisic",3,https://upload.wikimedia.org/wikipedia/commons/a/a2/Ljubomir_Stanisic_%28Time_Out_Lisboa%29.png
0010,"Rita Ferro Rodrigues",2,
0010,"Web Summit",1,
0010,"Judite Sousa",1,
0010,"Marcelo Rebelo de Sousa",1,https://upload.wikimedia.org/wikipedia/commons/6/61/Marcelo_Rebelo_de_Sousa_em_2018.jpg
0010,"Salão Erótico",1,
0010,"Carla Ferreira",1,
0010,"Restaurante Canela",1,
0010,"Manuel Canela",1,
0010,"António Leitão Amaro",1,
0012,"Ljubomir Stanisic",3,https://upload.wikimedia.org/wikipedia/commons/a/a2/Ljubomir_Stanisic_%28Time_Out_Lisboa%29.png
0012,"Rita Ferro Rodrigues",2,
0012,"Gustavo Santos",2,https://media-manager.noticiasaominuto.com/640/naom_613002dac4937.webp?crop_params=eyJsYW5kc2NhcGUiOnsiY3JvcFdpZHRoIjoxMDc4LCJjcm9wSGVpZ2h0Ijo2MDYsImNyb3BYIjowLCJjcm9wWSI6MH0sInBvcnRyYWl0Ijp7ImNyb3BXaWR0aCI6NjA3LCJjcm9wSGVpZ2h0IjoxMDc5LCJjcm9wWCI6MjIzLCJjcm9wWSI6MX19
0012,"Rui Veloso",2,
0012,"Web Summit",1,
0012,"Judite Sousa",1,
0012,"Marcelo Rebelo de Sousa",1,https://upload.wikimedia.org/wikipedia/commons/6/61/Marcelo_Rebelo_de_Sousa_em_2018.jpg
0012,"Salão Erótico",1,
0012,"Carla Ferreira",1,
0012,"Restaurante Canela",1,
0013,"Ljubomir Stanisic",3,https://upload.wikimedia.org/wikipedia/commons/a/a2/Ljubomir_Stanisic_%28Time_Out_Lisboa%29.png
0013,"Rita Ferro Rodrigues",2,
0013,"Gustavo Santos",2,https://media-manager.noticiasaominuto.com/640/naom_613002dac4937.webp?crop_params=eyJsYW5kc2NhcGUiOnsiY3JvcFdpZHRoIjoxMDc4LCJjcm9wSGVpZ2h0Ijo2MDYsImNyb3BYIjowLCJjcm9wWSI6MH0sInBvcnRyYWl0Ijp7ImNyb3BXaWR0aCI6NjA3LCJjcm9wSGVpZ2h0IjoxMDc5LCJjcm9wWCI6MjIzLCJjcm9wWSI6MX19
0013,"Rui Veloso",2,
0013,"Ana Malhoa",2,
0013,"Web Summit",1,
0013,"Judite Sousa",1,
0013,"Marcelo Rebelo de Sousa",1,https://upload.wikimedia.org/wikipedia/commons/6/61/Marcelo_Rebelo_de_Sousa_em_2018.jpg
0013,"Salão Erótico",1,
0013,"Carla Ferreira",1,
0014,"Ljubomir Stanisic",3,https://upload.wikimedia.org/wikipedia/commons/a/a2/Ljubomir_Stanisic_%28Time_Out_Lisboa%29.png
0014,"Rita Ferro Rodrigues",2,
